Tr_Name,Park,Park_Tourism_Region,Visitor_State,Last_12_Months,Prior_12_Months,Pct_Change,Difference
Australia's South West,Carnarvon National Park,Central Queensland,WA,15,2,650,13
Australia's South West,Cathu State Forest,Mackay,WA,0,2,-100,-2
Australia's South West,Conondale National Park,Sunshine Coast,WA,5,3,66.66666667,2
Australia's South West,Cooloola Recreation Area,Sunshine Coast,WA,75,51,47.05882353,24
Australia's South West,Crediton State Forest,Mackay,WA,3,15,-80,-12
Australia's South West,Crows Nest National Park,Darling Downs,WA,8,0,100,8
Australia's South West,Currawinya National Park,Outback,WA,3,0,100,3
Australia's South West,Curtis Island National Park and Conservation Park,Central Queensland,WA,0,16,-100,-16
Australia's South West,Daintree National Park,Tropical North Queensland,WA,0,69,-100,-69
Australia's South West,Daintree National Park (CYPAL),Tropical North Queensland,WA,29,0,100,29
Australia's South West,Danbulla National Park,Tropical North Queensland,WA,92,55,67.27272727,37
Australia's South West,Davies Creek National Park,Tropical North Queensland,WA,4,4,0,0
Australia's South West,Deepwater National Park,Central Queensland,WA,10,4,150,6
Australia's South West,Diamantina National Park,Outback,WA,0,12,-100,-12
Australia's South West,Dinden National Park,Tropical North Queensland,WA,1,10,-90,-9
Australia's South West,Eungella National Park,Mackay,WA,24,21,14.28571429,3
Australia's South West,Eurimbula National Park,Central Queensland,WA,11,13,-15.38461538,-2
Australia's South West,Expedition National Park,Central Queensland,WA,7,0,100,7
Australia's South West,Frankland Group National Park,Tropical North Queensland,WA,4,0,100,4
Australia's South West,Girramay National Park,Tropical North Queensland,WA,38,48,-20.83333333,-10
Australia's South West,Girraween National Park,Darling Downs,WA,2,5,-60,-3
Australia's South West,Girringun National Park,Tropical North Queensland,WA,24,9,166.6666667,15
