Suburb,Month of Dates,Occupancy Percent
Closeburn,Feb-22,90.18
Closeburn,Jan-22,97.58
Closeburn,Dec-21,88.71
Closeburn,Nov-21,75.83
Closeburn,Oct-21,77.42
Closeburn,Sep-21,84.17
Closeburn,Aug-21,74.19
Closeburn,Jul-21,89.52
D'Aguilar,Jul-23,45.16
D'Aguilar,Jun-23,50
D'Aguilar,May-23,84.21
Dakabin,Jul-23,70.43
Dakabin,Jun-23,69.44
Dakabin,May-23,72.62
Dakabin,Apr-23,65.56
Dakabin,Mar-23,70.43
Dakabin,Feb-23,61.15
Dakabin,Jan-23,74.67
Dakabin,Dec-22,86.09
Dakabin,Nov-22,77.33
Dakabin,Oct-22,82.86
Dakabin,Sep-22,89.17
Dakabin,Aug-22,76.64
Dakabin,Jul-22,74.19
Dakabin,Jun-22,90
Dakabin,May-22,95.7
Dakabin,Apr-22,97.78
Dakabin,Mar-22,90.32
Dakabin,Feb-22,88.1
Dakabin,Jan-22,95.79
Dakabin,Dec-21,55.86
Dakabin,Nov-21,47.33
Dakabin,Oct-21,56.05
Dakabin,Sep-21,48.33
Dakabin,Aug-21,34.95
Dakabin,Jul-21,39.9
Dayboro,Jul-23,8.9
Dayboro,Jun-23,21.2
Dayboro,May-23,13.27
Dayboro,Apr-23,23.74
Dayboro,Mar-23,36.14
Dayboro,Feb-23,14.29
Dayboro,Jan-23,40.43
Dayboro,Dec-22,34.87
Dayboro,Nov-22,25.24
Dayboro,Oct-22,21.77
Dayboro,Sep-22,39.17
Dayboro,Aug-22,63.64
Dayboro,Jul-22,79
Dayboro,Jun-22,47.22
Dayboro,May-22,25
Dayboro,Apr-22,18.33
Dayboro,Mar-22,11.29
Dayboro,Feb-22,48.21
Dayboro,Jan-22,11.43
Dayboro,Dec-21,48.39
Dayboro,Nov-21,20
Dayboro,Oct-21,29.03
Dayboro,Sep-21,46.15
Dayboro,Aug-21,59.68
Dayboro,Jul-21,46.43
Deception Bay,Jul-23,58.61
Deception Bay,Jun-23,40.91
Deception Bay,May-23,41.27
Deception Bay,Apr-23,52.57
Deception Bay,Mar-23,63.42
Deception Bay,Feb-23,73.93
Deception Bay,Jan-23,81.48
Deception Bay,Dec-22,87.08
Deception Bay,Nov-22,78.6
Deception Bay,Oct-22,61.47
Deception Bay,Sep-22,69.79
Deception Bay,Aug-22,75.83
Deception Bay,Jul-22,72.58
Deception Bay,Jun-22,67.08
