Tr_Name,Park_Tourism_Region,Last_Yr,This_Yr,Percent_Change
Katherine Daly,Fraser Coast,192,90,-53.125
Katherine Daly,Gold Coast,0,10,100
Katherine Daly,"Launceston, Tamar and the North",0,24,100
Katherine Daly,Mackay,2,28,1300
Katherine Daly,Outback,42,0,-100
Katherine Daly,Sunshine Coast,18,30,66.66666667
Katherine Daly,Townsville,16,8,-50
Katherine Daly,Tropical North Queensland,102,168,64.70588235
Katherine Daly,Whitsundays,0,8,100
Lakes,All,"2,420","3,622",49.66942149
Lakes,Brisbane,84,134,59.52380952
Lakes,Bundaberg,4,4,0
Lakes,Central Queensland,250,392,56.8
Lakes,Darling Downs,56,112,100
Lakes,Fraser Coast,832,"1,776",113.4615385
Lakes,Gold Coast,16,40,150
Lakes,"Launceston, Tamar and the North",12,80,566.6666667
Lakes,Mackay,6,44,633.3333333
Lakes,Outback,104,124,19.23076923
Lakes,Sunshine Coast,492,420,-14.63414634
Lakes,Townsville,44,132,200
Lakes,Tropical North Queensland,508,304,-40.15748031
Lakes,Whitsundays,12,60,400
Lasseter,All,550,"1,632",196.7272727
Lasseter,Brisbane,6,40,566.6666667
Lasseter,Central Queensland,26,42,61.53846154
Lasseter,Darling Downs,8,4,-50
Lasseter,Fraser Coast,38,344,805.2631579
Lasseter,Gold Coast,2,8,300
Lasseter,"Launceston, Tamar and the North",0,110,100
Lasseter,Mackay,8,16,100
Lasseter,Outback,68,56,-17.64705882
Lasseter,Sunshine Coast,86,840,876.744186
Lasseter,Townsville,36,20,-44.44444444
Lasseter,Tropical North Queensland,256,152,-40.625
Lasseter,Whitsundays,16,0,-100
Launceston and the North,All,"3,156","2,212",-29.9112801
Launceston and the North,Brisbane,50,126,152
Launceston and the North,Bundaberg,0,4,100
